task_url,task_number,mmsi,label,label_score,type,type_score,label_check,checked_type,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4272,4272,235106574,Purse seine,0.915919781,51,1,0,SAR,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4273,4273,238198000,Trawler,0.885561705,7,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4274,4274,244650004,Purse seine,0.835069656,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4275,4275,244780598,Purse seine,0.836957872,79,1,0,dredge,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4276,4276,244790381,Purse seine,0.916549861,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4277,4277,245999000,Trawler,0.999137998,90,1,1,trawl,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4278,4278,247119520,Longliner,0.98286128,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4279,4279,247191500,Trawler,0.999621391,52,1,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4280,4280,249000066,Purse seine,0.822231889,89,1,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4281,4281,250000111,Purse seine,0.899119318,60,0.97080292,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4282,4282,250414000,Trawler,0.974216461,90,1,1,dredge,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4283,4283,251199000,Longliner,0.830341756,39,1,0,research,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4284,4284,257779360,Purse seine,0.902905107,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4285,4285,263906380,Purse seine,0.853080213,36,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4286,4286,264160092,Trawler,0.996114612,80,0.990218642,0,tanker,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4287,4287,265638130,Longliner,0.852552533,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4288,4288,265722600,Longliner,0.988988698,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4289,4289,273315640,Trawler,0.951958001,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4290,4290,273847710,Longliner,0.897049904,70,1,0,fish carrier,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4291,4291,311227000,Longliner,0.852165639,89,0.999841822,0,tanker,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4292,4292,316017683,Longliner,0.833753169,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4293,4293,333300758,Trawler,0.821438432,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4294,4294,333888999,Purse seine,0.997227371,37,1,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4295,4295,338139723,Longliner,0.874650359,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4296,4296,338145727,Purse seine,0.935638487,31,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4297,4297,338173208,Purse seine,0.949868381,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4298,4298,338175418,Purse seine,0.847243786,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4299,4299,352432000,Trawler,0.971652567,90,0.999903754,0,offshore supply,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4300,4300,352689000,Purse seine,0.906184793,89,0.998402556,0,tanker,,
,,353494000,Trawler,0.997321308,90,1,,no info,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4301,4301,354055000,Longliner,0.943434179,52,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4302,4302,366920680,Longliner,0.937657475,36,1,0,sail,,
,,367161340,Longliner,0.973618737,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4303,4303,367571490,Longliner,0.859166488,39,1,1,longliner,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4304,4304,367588860,Longliner,0.890473247,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4305,4305,367599150,Longliner,0.990649164,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4306,4306,367666000,Purse seine,0.996391678,70,1,1,purse seine,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4307,4307,376761000,Trawler,0.837675333,52,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4308,4308,400121500,Purse seine,0.929434061,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4309,4309,412421520,Trawler,0.820314169,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4310,4310,412426090,Trawler,0.842307687,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4311,4311,412428493,Trawler,0.809272587,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4312,4312,412429460,Trawler,0.817386568,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4313,4313,412434226,Purse seine,0.805898428,37,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4314,4314,412570440,Trawler,0.904643118,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4315,4315,412702190,Trawler,0.902086794,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4316,4316,412798016,Trawler,0.995653629,79,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4317,4317,412888880,Trawler,0.829994857,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4318,4318,413002549,Trawler,0.908487141,70,1,,no info,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4319,4319,413553190,Trawler,0.824205101,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4320,4320,413553230,Trawler,0.837604225,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4321,4321,413762607,Purse seine,0.825495839,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4322,4322,413766622,Purse seine,0.994529665,70,0.998917749,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4323,4323,413767005,Purse seine,0.830177903,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4324,4324,413779571,Purse seine,0.842018187,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4325,4325,413782871,Purse seine,0.88254267,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4326,4326,413787715,Trawler,0.84452045,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4327,4327,413792516,Trawler,0.834954977,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4328,4328,413802042,Purse seine,0.960743964,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4329,4329,413807411,Trawler,0.996806264,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4330,4330,413808319,Purse seine,0.822886825,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4331,4331,413809107,Purse seine,0.962678015,52,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4332,4332,413811523,Purse seine,0.867149353,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4333,4333,413814162,Trawler,0.877157331,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4334,4334,413814949,Trawler,0.864407957,69,0.999044738,0,passenger,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4335,4335,413830574,Purse seine,0.90566963,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4336,4336,413900088,Trawler,0.868382215,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4337,4337,413950083,Purse seine,0.906163931,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4338,4338,413962155,Purse seine,0.89406085,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4339,4339,413963176,Trawler,0.856349885,70,0.999160369,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4340,4340,413964488,Trawler,0.883237123,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4341,4341,413976502,Trawler,0.965296268,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4342,4342,413977702,Trawler,0.891570628,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4343,4343,413982134,Purse seine,0.826995671,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4344,4344,413984759,Trawler,0.890039861,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4345,4345,413987973,Trawler,0.830810189,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4346,4346,413996094,Purse seine,0.814316571,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4347,4347,413999862,Trawler,0.992612362,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4348,4348,416004242,Longliner,0.999927878,37,1,1,"MMSI listed as pleasure craft, same name is longline fishing vessel",,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4349,4349,416028700,Longliner,0.99273926,40,0.981245311,0,high speed craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4350,4350,416046700,Longliner,0.987716377,2,0.828903654,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4351,4351,416731000,Longliner,0.998630941,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4352,4352,419000244,Longliner,0.82320708,35,1,0,military,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4353,4353,419072800,Trawler,0.975160182,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4354,4354,431004641,Purse seine,0.915997684,31,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4355,4355,431501545,Longliner,0.999979496,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4356,4356,431601350,Longliner,0.875885785,37,1,1,"MMSI listed as pleasure craft, same name is longline fishing vessel",,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4357,4357,431900227,Longliner,0.947113514,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4358,4358,432568000,Longliner,0.999572116,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4359,4359,440103090,Purse seine,0.877351046,95,1,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4360,4360,440105520,Longliner,0.950790763,20,1,,no info,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4361,4361,440127950,Trawler,0.843033791,32,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4362,4362,441735000,Longliner,0.853907168,36,1,,no info,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4363,4363,457239000,Trawler,0.956449568,70,0.998521803,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4364,4364,503008850,Purse seine,0.945006073,37,1,0,pleasure craft,,
,,503013020,Longliner,0.836417139,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4365,4365,503553100,Purse seine,0.930122375,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4366,4366,503571400,Purse seine,0.805036724,55,1,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4367,4367,503586100,Longliner,0.998418331,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4368,4368,503652100,Longliner,0.873143852,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4369,4369,524801490,Trawler,0.852947831,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4370,4370,525005013,Purse seine,0.967545509,60,1,0,passenger,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4371,4371,525015561,Trawler,0.804947197,36,0.855112975,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4372,4372,525022136,Longliner,0.992131412,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4373,4373,525022145,Purse seine,0.978933334,70,0.981766382,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4374,4374,525023216,Longliner,0.877212882,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4375,4375,533065200,Longliner,0.909240067,52,1,0,offshore supply,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4376,4376,533130177,Longliner,0.896276653,113,0.983240223,0,offshore supply,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4377,4377,538002948,Longliner,0.999074578,52,0.999710983,0,offshore supply,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4378,4378,566174000,Longliner,0.88436836,90,1,0,offshore supply,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4379,4379,572718210,Purse seine,0.973057926,80,1,0,tanker,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4380,4380,574013003,Longliner,0.809677839,70,0.999593331,0,bulk,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4381,4381,576190000,Longliner,0.985610068,90,1,0,utility,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4382,4382,576690000,Longliner,0.999999285,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4383,4383,601032600,Longliner,0.984707415,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4384,4384,657429000,Longliner,0.913349748,20,0.998095238,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4385,4385,659422000,Trawler,0.985796988,90,1,1,factory trawler,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4386,4386,667001230,Trawler,0.931002915,79,0.977017638,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4387,4387,701319841,Purse seine,0.837321281,10,0.913646055,,no info,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4388,4388,710012560,Trawler,0.905106723,70,0.997507929,0,offshore supply,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4389,4389,710472000,Longliner,0.885711014,35,1,0,military,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4390,4390,725003280,Purse seine,0.879687607,60,1,0,passenger,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4391,4391,900008509,Trawler,0.997094631,70,1,0,cargo,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4392,4392,900116912,Trawler,0.886222601,70,1,,no info,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4393,4393,900899965,Purse seine,0.994000316,70,1,,no info,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4394,4394,982358863,Purse seine,0.957719088,53,1,0,other,,
